S0 S1 B0 B1 B2 B3 Y0 Y1 Y2 Y3

# all 0
0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0 0 0
0 0 0 0 1 0 0 0 0 0
0 0 0 0 1 1 0 0 0 0
0 0 0 1 0 0 0 0 0 0
0 0 0 1 0 1 0 0 0 0
0 0 0 1 1 0 0 0 0 0
0 0 0 1 1 1 0 0 0 0
0 0 1 0 0 0 0 0 0 0
0 0 1 0 0 1 0 0 0 0
0 0 1 0 1 0 0 0 0 0
0 0 1 0 1 1 0 0 0 0
0 0 1 1 0 0 0 0 0 0
0 0 1 1 0 1 0 0 0 0
0 0 1 1 1 0 0 0 0 0
0 0 1 1 1 1 0 0 0 0
# -B
0 1 0 0 0 0 1 1 1 1
0 1 0 0 0 1 1 1 1 0
0 1 0 0 1 0 1 1 0 1
0 1 0 0 1 1 1 1 0 0
0 1 0 1 0 0 1 0 1 1
0 1 0 1 0 1 1 0 1 0
0 1 0 1 1 0 1 0 0 1
0 1 0 1 1 1 1 0 0 0
0 1 1 0 0 0 0 1 1 1
0 1 1 0 0 1 0 1 1 0
0 1 1 0 1 0 0 1 0 1
0 1 1 0 1 1 0 1 0 0
0 1 1 1 0 0 0 0 1 1
0 1 1 1 0 1 0 0 1 0
0 1 1 1 1 0 0 0 0 1
0 1 1 1 1 1 0 0 0 0
## B
1 0 0 0 0 0 0 0 0 0
1 0 0 0 0 1 0 0 0 1
1 0 0 0 1 0 0 0 1 0
1 0 0 0 1 1 0 0 1 1
1 0 0 1 0 0 0 1 0 0
1 0 0 1 0 1 0 1 0 1
1 0 0 1 1 0 0 1 1 0
1 0 0 1 1 1 0 1 1 1
1 0 1 0 0 0 1 0 0 0
1 0 1 0 0 1 1 0 0 1
1 0 1 0 1 0 1 0 1 0
1 0 1 0 1 1 1 0 1 1
1 0 1 1 0 0 1 1 0 0
1 0 1 1 0 1 1 1 0 1
1 0 1 1 1 0 1 1 1 0
1 0 1 1 1 1 1 1 1 1
## all 1
1 1 0 0 0 0 1 1 1 1
1 1 0 0 0 1 1 1 1 1
1 1 0 0 1 0 1 1 1 1
1 1 0 0 1 1 1 1 1 1
1 1 0 1 0 0 1 1 1 1
1 1 0 1 0 1 1 1 1 1
1 1 0 1 1 0 1 1 1 1
1 1 0 1 1 1 1 1 1 1
1 1 1 0 0 0 1 1 1 1
1 1 1 0 0 1 1 1 1 1
1 1 1 0 1 0 1 1 1 1
1 1 1 0 1 1 1 1 1 1
1 1 1 1 0 0 1 1 1 1
1 1 1 1 0 1 1 1 1 1
1 1 1 1 1 0 1 1 1 1
1 1 1 1 1 1 1 1 1 1
