S1 S0 A0 A1 A2 A3 B0 B1 B2 B3 R0 R1 R2 R3

# AND
0 0 1 0 1 0 1 1 0 0 1 0 0 0
0 0 0 1 1 1 1 1 1 1 0 1 1 1
0 0 0 1 0 0 1 1 0 0 0 1 0 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0
0 0 0 0 1 1 0 1 0 1 0 0 0 1
0 0 0 0 0 0 0 1 1 0 0 0 0 0
0 0 1 1 0 1 0 1 0 0 0 1 0 0
# OR
0 1 1 0 1 1 0 0 0 1 1 0 1 1
0 1 0 1 0 1 1 0 0 1 1 1 0 1
0 1 1 1 1 0 1 0 0 0 1 1 1 0
0 1 1 1 0 0 1 1 0 1 1 1 0 1
# XOR
1 0 1 0 0 0 0 1 1 0 1 1 1 0
1 0 1 0 1 0 1 0 0 1 0 0 1 1
1 0 1 1 1 0 0 0 0 0 1 1 1 0
1 0 0 1 0 0 1 0 0 1 1 1 0 1
# NOT A 
1 1 1 1 0 0 0 0 0 1 0 0 1 1
1 1 1 0 0 1 1 0 1 1 0 1 1 0
1 1 1 0 1 0 1 1 0 1 0 1 0 1
1 1 0 1 1 0 0 0 1 0 1 0 0 1
1 1 0 1 1 1 1 0 0 1 1 0 0 0
