S2 S1 S0 C_in A B G C_out

#Arithmetic:
#A transfer (1)
0 0 0 0 0 0 0 0
0 0 0 0 0 1 0 0
0 0 0 0 1 1 1 0
0 0 0 0 1 0 1 0
#A increment
0 0 0 1 0 0 1 0
0 0 0 1 1 0 0 1
0 0 0 1 0 1 1 0
0 0 0 1 1 1 0 1
#A+B
0 0 1 0 0 0 0 0 
0 0 1 0 1 0 1 0
0 0 1 0 0 1 1 0
0 0 1 0 1 1 0 1
#A+B+1
0 0 1 1 0 0 1 0 
0 0 1 1 1 0 0 1
0 0 1 1 0 1 0 1
0 0 1 1 1 1 1 1
#A+-B
0 1 0 0 0 0 1 0
0 1 0 0 1 0 0 1
0 1 0 0 0 1 0 0
0 1 0 0 1 1 1 0
#subtract (A+-B+1)
0 1 0 1 0 0 0 1
0 1 0 1 1 0 1 1
0 1 0 1 0 1 1 0
0 1 0 1 1 1 0 1
#decrement (A-1)
0 1 1 0 0 0 1 0
0 1 1 0 1 0 0 1
0 1 1 0 0 1 1 0
0 1 1 0 1 1 0 1
#A transfer (2)
0 1 1 1 0 0 0 1
0 1 1 1 0 1 0 1
0 1 1 1 1 1 1 1
0 1 1 1 1 0 1 1

#Logic:
#(x = don´t care)
# AND
1 0 0 0 0 0 0 x
1 0 0 0 0 1 0 x
1 0 0 0 1 0 0 x
1 0 0 0 1 1 1 x
# OR
1 0 1 0 0 0 0 x
1 0 1 0 0 1 1 x
1 0 1 0 1 0 1 x
1 0 1 0 1 1 1 x
# XOR
1 1 0 0 0 0 0 x
1 1 0 0 0 1 1 x
1 1 0 0 1 0 1 x
1 1 0 0 1 1 0 x
# NOT A
1 1 1 0 0 0 1 x
1 1 1 0 0 1 1 x
1 1 1 0 1 0 0 x
1 1 1 0 1 1 0 x
#same with C_in = 1:
# AND
1 0 0 1 0 0 0 x
1 0 0 1 0 1 0 x
1 0 0 1 1 0 0 x
1 0 0 1 1 1 1 x
# OR
1 0 1 1 0 0 0 x
1 0 1 1 0 1 1 x
1 0 1 1 1 0 1 x
1 0 1 1 1 1 1 x
# XOR
1 1 0 1 0 0 0 x
1 1 0 1 0 1 1 x
1 1 0 1 1 0 1 x
1 1 0 1 1 1 0 x
# NOT A
1 1 1 1 0 0 1 x
1 1 1 1 0 1 1 x
1 1 1 1 1 0 0 x
1 1 1 1 1 1 0 x
